Building prefix dict from the default dictionary ...
Dumping model to file cache /tmp/jieba.cache
Loading model cost 0.608 seconds.
Prefix dict has been built successfully.
Using device: cuda
IN: TextClassificationModel_CNN_MHA
Test Loss: 3.6989, Train Loss: 3.9358, Test Emotion Accuracy: 0.6650, Test Feature Accuracy: 0.1128
Test Loss: 3.4895, Train Loss: 3.7582, Test Emotion Accuracy: 0.6757, Test Feature Accuracy: 0.1100
Test Loss: 3.3489, Train Loss: 3.5637, Test Emotion Accuracy: 0.7346, Test Feature Accuracy: 0.1994
Test Loss: 3.2211, Train Loss: 3.4231, Test Emotion Accuracy: 0.7260, Test Feature Accuracy: 0.2960
Test Loss: 3.0969, Train Loss: 3.3200, Test Emotion Accuracy: 0.6927, Test Feature Accuracy: 0.3180
Test Loss: 2.9887, Train Loss: 3.2090, Test Emotion Accuracy: 0.7040, Test Feature Accuracy: 0.3542
Test Loss: 2.8897, Train Loss: 3.1067, Test Emotion Accuracy: 0.7090, Test Feature Accuracy: 0.3655
Test Loss: 2.7770, Train Loss: 3.0112, Test Emotion Accuracy: 0.7260, Test Feature Accuracy: 0.3691
Test Loss: 2.6810, Train Loss: 2.9102, Test Emotion Accuracy: 0.7310, Test Feature Accuracy: 0.3719
Test Loss: 2.5654, Train Loss: 2.8193, Test Emotion Accuracy: 0.7502, Test Feature Accuracy: 0.4038
Test Loss: 2.4521, Train Loss: 2.7193, Test Emotion Accuracy: 0.8027, Test Feature Accuracy: 0.4698
Test Loss: 2.3535, Train Loss: 2.6071, Test Emotion Accuracy: 0.8133, Test Feature Accuracy: 0.5295
Test Loss: 2.2644, Train Loss: 2.5414, Test Emotion Accuracy: 0.8112, Test Feature Accuracy: 0.5962
Test Loss: 2.1761, Train Loss: 2.4639, Test Emotion Accuracy: 0.8162, Test Feature Accuracy: 0.6111
Test Loss: 2.1016, Train Loss: 2.3785, Test Emotion Accuracy: 0.8148, Test Feature Accuracy: 0.6324
Test Loss: 2.0471, Train Loss: 2.3018, Test Emotion Accuracy: 0.8204, Test Feature Accuracy: 0.6352
Test Loss: 1.9733, Train Loss: 2.2519, Test Emotion Accuracy: 0.8183, Test Feature Accuracy: 0.6309
Test Loss: 1.9266, Train Loss: 2.1917, Test Emotion Accuracy: 0.8183, Test Feature Accuracy: 0.6579
